player,stat,line
Bijan Robinson,Rush Yards,1075.5
Derrick Henry,Rush Yards,1275.5
Jonathan Taylor,Rush Yards,1300.5
Nick Chubb,Rush Yards,1275.5
Travis Etienne Jr.,Rush Yards,1125.5
Najee Harris,Rush Yards,1050.5
Josh Allen,Rush Yards,600.5
Jalen Hurts,Rush Yards,725.5
Lamar Jackson,Rush Yards,850.5
Jahmyr Gibbs,Rush Yards,599.5
D'Andre Swift,Rush Yards,599.5
Nikola Jokic,Assists,10
Jimmy Butler,Assists,6.5
Jamal Murray,Assists,6.5
Alex Rawls,Bags In,14.5
Blaine Rosier,Bags In,14.5
Cheyenne Bubenheim,Bags In,15
Chris Kingsbury,Bags In,14.5
Cody Johnson,Bags In,14
Jeremy Frazier,Bags In,15
Lamar Ploppert,Bags In,14
Ryan Hart,Bags In,14.5
Sarah Cassidy,Bags In,15
Steve DeRycke,Bags In,15
Tony Hughes,Bags In,14
Zachary Lewis,Bags In,11
Adam Hissner,Bags In,14.5
Austin Schlobohm,Bags In,14.5
Byron Sisson,Bags In,14.5
Curtis Haddox,Bags In,14.5
Eric Anderson,Bags In,14.5
Frank Modlin,Bags In,14.5
Jason Frady,Bags In,14
Josh Hill,Bags In,14
Josh Holland,Bags In,14.5
Justin Doss,Bags In,14.5
Matt Allen,Bags In,14.5
Tyler Parent,Bags In,14
Vincent Frisch,Bags In,14.5
Yetty Irwan,Bags In,14.5
Adrian Brunson,Bags In,14
Connie Altice,Bags In,14.5
David Ryon,Bags In,14
Devon Harbaugh,Bags In,15
Elizabeth Tennyson,Bags In,14
Gage Landis,Bags In,14
Jacob Foreman,Bags In,14.5
Justin Burton Jr,Bags In,14.5
Kenzie Beach,Bags In,14
Matthew Creekkiller,Bags In,14.5
Megan Maupin,Bags In,13.5
Nate Long,Bags In,14
Trey Hunt,Bags In,13.5
Tubby Cobb,Bags In,14
Alex Rawls,Bags In,14.5
Blaine Rosier,Bags In,14.5
Cheyenne Bubenheim,Bags In,15
Chris Kingsbury,Bags In,14.5
Cody Johnson,Bags In,14
Jeremy Frazier,Bags In,15
Lamar Ploppert,Bags In,14
Ryan Hart,Bags In,14.5
Sarah Cassidy,Bags In,15
Steve DeRycke,Bags In,15
Tony Hughes,Bags In,14
Zachary Lewis,Bags In,11
Chris Day,Bags In,14
Chuckie Love,Bags In,14.5
Daniel Walker Jr,Bags In,13.5
Jacob Beamer,Bags In,14.5
Jaime Sanchez,Bags In,14
Jared Kuhfuss,Bags In,11
Jay Rubin,Bags In,14.5
Jeremy Schermerhorn,Bags In,14.5
Joe Kniesteadt,Bags In,15
Jordan Power,Bags In,14.5
Kris Morrison,Bags In,14
Mike Ferreira,Bags In,14.5
Tom Walter,Bags In,13.5
Trevor Kuhfuss,Bags In,14
Alan Rawls,Bags In,14.5
